A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  335
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  336
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  337
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  338
AA reads 0026.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  339
AA reads 0026.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  340
AA reads 0026.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  341
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  342
AA reads 0026.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  343
AA reads 0026.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0047.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  344
AA reads 0026.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0003.  Therefore, state is: 0000
A6 reads 0047.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
