[MAIN] State is:    0, time is:   64
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0066.  Therefore, state is: 0000
A7 reads 0252.  Therefore, state is: 0000
A6 reads 0219.  Therefore, state is: 0000
A5 reads 0245.  Therefore, state is: 0000
A4 reads 0238.  Therefore, state is: 0000
A3 reads 0232.  Therefore, state is: 0000
A2 reads 0357.  Therefore, state is: 0000
A1 reads 0338.  Therefore, state is: 0000
A0 reads 0299.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   65
A9 reads 0059.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0190.  Therefore, state is: 0000
A6 reads 0183.  Therefore, state is: 0000
A5 reads 0128.  Therefore, state is: 0000
A4 reads 0154.  Therefore, state is: 0000
A3 reads 0174.  Therefore, state is: 0000
A2 reads 0320.  Therefore, state is: 0000
A1 reads 0260.  Therefore, state is: 0000
A0 reads 0241.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   66
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A4 reads 0147.  Therefore, state is: 0000
A3 reads 0174.  Therefore, state is: 0000

A5 reads 0106.  Therefore, state is: 0000
A7 reads 0165.  Therefore, state is: 0000
A6 reads 0169.  Therefore, state is: 0000A2 reads 0323.  Therefore, state is: 0000
A1 reads 0248.  Therefore, state is: 0000
A0 reads 0233.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   67
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0158.  Therefore, state is: 0000
A6 reads 0166.  Therefore, state is: 0000
A5 reads 0105.  Therefore, state is: 0000
A4 reads 0146.  Therefore, state is: 0000
A3 reads 0174.  Therefore, state is: 0000
A2 reads 0307.  Therefore, state is: 0000
A1 reads 0219.  Therefore, state is: 0000
A0 reads 0208.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   68
A9 reads 0057.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0147.  Therefore, state is: 0000
A6 reads 0156.  Therefore, state is: 0000
A5 reads 0044.  Therefore, state is: 0000
A4 reads 0106.  Therefore, state is: 0000
A3 reads 0146.  Therefore, state is: 0000
A2 reads 0288.  Therefore, state is: 0000
A1 reads 0169.  Therefore, state is: 0000
A0 reads 0173.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   69
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0149.  Therefore, state is: 0000
A6 reads 0158.  Therefore, state is: 0000
A5 reads 0064.  Therefore, state is: 0000
A4 reads 0124.  Therefore, state is: 0000
A3 reads 0159.  Therefore, state is: 0000
A2 reads 0285.  Therefore, state is: 0000
A1 reads 0170.  Therefore, state is: 0000
A0 reads 0174.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   70
A9 reads 0059.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0149.  Therefore, state is: 0000
