LOOPING
A9 reads 1023.  Therefore, state is: 0x0001
A8 reads 0982.  Therefore, state is: 0x0003
A7 reads 0904.  Therefore, state is: 0x0007
A6 reads 0662.  Therefore, state is: 0x000f
A5 reads 0527.  Therefore, state is: 0x001e
A4 reads 0512.  Therefore, state is: 0x003c
A3 reads 0489.  Therefore, state is: 0x0078
A2 reads 0477.  Therefore, state is: 0x00f0
A1 reads 0463.  Therefore, state is: 0x01e0
A0 reads 0483.  Therefore, state is: 0x03c0
[MAIN] State is: 0x3c0, time is:   29
LOOPING
A9 reads 0386.  Therefore, state is: 0000
A8 reads 0353.  Therefore, state is: 0000
A7 reads 0455.  Therefore, state is: 0000
A6 reads 0539.  Therefore, state is: 0000
A5 reads 0709.  Therefore, state is: 0x0001
A4 reads 0673.  Therefore, state is: 0x0003
A3 reads 0649.  Therefore, state is: 0x0007
A2 reads 0844.  Therefore, state is: 0x000f
A1 reads 0861.  Therefore, state is: 0x001f
A0 reads 0887.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   30
LOOPING
A9 reads 0492.  Therefore, state is: 0000
A8 reads 0385.  Therefore, state is: 0000
A7 reads 0380.  Therefore, state is: 0000
A6 reads 0395.  Therefore, state is: 0000
A5 reads 0611.  Therefore, state is: 0x0001
A4 reads 0577.  Therefore, state is: 0x0002
A3 reads 0551.  Therefore, state is: 0x0004
A2 reads 0659.  Therefore, state is: 0x0009
A1 reads 0637.  Therefore, state is: 0x0013
A0 reads 0596.  Therefore, state is: 0x0026
[MAIN] State is: 0x26, time is:   31
LOOPING
A9 reads 0558.  Therefore, state is: 0000
A8 reads 0431.  Therefore, state is: 0000
A7 reads 0303.  Therefore, state is: 0000
A6 reads 0314.  Therefore, state is: 0000
A5 reads 0394.  Therefore, state is: 0000
A4 reads 0385.  Therefore, state is: 0000
A3 reads 0379.  Therefore, state is: 0000
A2 reads 0393.  Therefore, state is: 0000
A1 reads 0379.  Therefore, state is: 0000
A0 reads 0419.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   32
LOOPING
A9 reads 0872.  Therefore, state is: 0x0001
A8 reads 0827.  Therefore, state is: 0x0003
A7 reads 0882.  Therefore, state is: 0x0007
A6 reads 0720.  Therefore, state is: 0x000f
A5 reads 0801.  Therefore, state is: 0x001f
A4 reads 0714.  Therefore, state is: 0x003f
A3 reads 0669.  Therefore, state is: 0x007f
A2 reads 0884.  Therefore, state is: 0x00ff
A1 reads 0933.  Therefore, state is: 0x01ff
A0 reads 0989.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   33
LOOPING
A9 reads 0981.  Therefore, state is: 0x0001
A8 reads 0949.  Therefore, state is: 0x0003
A7 reads 0939.  Therefore, state is: 0x0007
A6 reads 0788.  Therefore, state is: 0x000f
A5 reads 0895.  Therefore, state is: 0x001f
A4 reads 0799.  Therefore, state is: 0x003f
A3 reads 0728.  Therefore, state is: 0x007f
A2 reads 0890.  Therefore, state is: 0x00ff
A1 reads 0880.  Therefore, state is: 0x01ff
A0 reads 0830.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   34
LOOPING
A9 reads 0842.  Therefore, state is: 0x0001
A8 reads 0711.  Therefore, state is: 0x0003
A7 reads 0720.  Therefore, state is: 0x0007
A6 reads 0667.  Therefore, state is: 0x000f
A5 reads 0596.  Therefore, state is: 0x001e
A4 reads 0567.  Therefore, state is: 0x003c
A3 reads 0531.  Therefore, state is: 0x0078
A2 reads 0587.  Therefore, state is: 0x00f0
A1 reads 0612.  Therefore, state is: 0x01e1
A0 reads 0664.  Therefore, state is: 0x03c3
[MAIN] State is: 0x3c3, time is:   35
LOOPING
A9 reads 0677.  Therefore, state is: 0x0001
A8 reads 0540.  Therefore, state is: 0x0002
A7 reads 0522.  Therefore, state is: 0x0004
A6 reads 0553.  Therefore, state is: 0x0008
A5 reads 0631.  Therefore, state is: 0x0011
A4 reads 0609.  Therefore, state is: 0x0023
A3 reads 0586.  Therefore, state is: 0x0046
A2 reads 0733.  Therefore, state is: 0x008d
A1 reads 0779.  Therefore, state is: 0x011b
A0 reads 0787.  Therefore, state is: 0x0237
[MAIN] State is: 0x237, time is:   36
LOOPING
A9 reads 0758.  Therefore, state is: 0x0001
A8 reads 0608.  Therefore, state is: 0x0003
A7 reads 0548.  Therefore, state is: 0x0006
A6 reads 0506.  Therefore, state is: 0x000c
A5 reads 0611.  Therefore, state is: 0x0019
A4 reads 0575.  Therefore, state is: 0x0032
A3 reads 0543.  Therefore, state is: 0x0064
A2 reads 0606.  Therefore, state is: 0x00c9
A1 reads 0573.  Therefore, state is: 0x0192
A0 reads 0565.  Therefore, state is: 0x0324
[MAIN] State is: 0x324, time is:   37
LOOPING
A9 reads 0405.  Therefore, state is: 0000
A8 reads 0249.  Therefore, state is: 0000
A7 reads 0033.  Therefore, state is: 0000
A6 reads 0185.  Therefore, state is: 0000
A5 reads 0092.  Therefore, state is: 0000
A4 reads 0169.  Therefore, state is: 0000
A3 reads 0198.  Therefore, state is: 0000
A2 reads 0117.  Therefore, state is: 0000
A1 reads 0129.  Therefore, state is: 0000
A0 reads 0195.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   38
LOOPING
A9 reads 0378.  Therefore, state is: 0000
A8 reads 0193.  Therefore, state is: 0000
A7 reads 0059.  Therefore, state is: 0000
A6 reads 0186.  Therefore, state is: 0000
A5 reads 0244.  Therefore, state is: 0000
A4 reads 0299.  Therefore, state is: 0000
A3 reads 0337.  Therefore, state is: 0000
A2 reads 0363.  Therefore, state is: 0000
A1 reads 0392.  Therefore, state is: 0000
A0 reads 0446.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   39
LOOPING
A9 reads 0487.  Therefore, state is: 0000
A8 reads 0295.  Therefore, state is: 0000
A7 reads 0146.  Therefore, state is: 0000
A6 reads 0232.  Therefore, state is: 0000
A5 reads 0372.  Therefore, state is: 0000
A4 reads 0364.  Therefore, state is: 0000
A3 reads 0381.  Therefore, state is: 0000
A2 reads 0328.  Therefore, state is: 0000
A1 reads 0301.  Therefore, state is: 0000
A0 reads 0315.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   40
LOOPING
A9 reads 0463.  Therefore, state is: 0000
A8 reads 0242.  Therefore, state is: 0000
A7 reads 0129.  Therefore, state is: 0000
A6 reads 0201.  Therefore, state is: 0000
A5 reads 0162.  Therefore, state is: 0000
A4 reads 0205.  Therefore, state is: 0000
A3 reads 0245.  Therefore, state is: 0000
A2 reads 0177.  Therefore, state is: 0000
A1 reads 0188.  Therefore, state is: 0000
A0 reads 0274.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   41
LOOPING
A9 reads 0447.  Therefore, state is: 0000
A8 reads 0207.  Therefore, state is: 0000
A7 reads 0168.  Therefore, state is: 0000
A6 reads 0240.  Therefore, state is: 0000
A5 reads 0280.  Therefore, state is: 0000
A4 reads 0317.  Therefore, state is: 0000
A3 reads 0348.  Therefore, state is: 0000
A2 reads 0375.  Therefore, state is: 0000
A1 reads 0400.  Therefore, state is: 0000
A0 reads 0459.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   42
LOOPING
A9 reads 0430.  Therefore, state is: 0000
A8 reads 0223.  Therefore, state is: 0000
A7 reads 0352.  Therefore, state is: 0000
A6 reads 0333.  Therefore, state is: 0000
A5 reads 0403.  Therefore, state is: 0000
A4 reads 0408.  Therefore, state is: 0000
A3 reads 0421.  Therefore, state is: 0000
A2 reads 0415.  Therefore, state is: 0000
A1 reads 0399.  Therefore, state is: 0000
A0 reads 0426.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   43
LOOPING
A9 reads 0409.  Therefore, state is: 0000
A8 reads 0208.  Therefore, state is: 0000
A7 reads 0310.  Therefore, state is: 0000
A6 reads 0314.  Therefore, state is: 0000
A5 reads 0208.  Therefore, state is: 0000
A4 reads 0247.  Therefore, state is: 0000
A3 reads 0281.  Therefore, state is: 0000
A2 reads 0153.  Therefore, state is: 0000
A1 reads 0133.  Therefore, state is: 0000
A0 reads 0235.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   44
LOOPING
A9 reads 1023.  Therefore, state is: 0x0001
A8 reads 1023.  Therefore, state is: 0x0003
A7 reads 0865.  Therefore, state is: 0x0007
A6 reads 0699.  Therefore, state is: 0x000f
A5 reads 0705.  Therefore, state is: 0x001f
A4 reads 0631.  Therefore, state is: 0x003f
A3 reads 0607.  Therefore, state is: 0x007f
A2 reads 0684.  Therefore, state is: 0x00ff
A1 reads 0676.  Therefore, state is: 0x01ff
A0 reads 0706.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   45
LOOPING
