LOOPING
[MAIN] State is: 0x1ff, time is:   45
LOOPING
A9 reads 0412.  Therefore, state is: 0000
A8 reads 0856.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0912.  Therefore, state is: 0x0007
A5 reads 0792.  Therefore, state is: 0x000f
A4 reads 0794.  Therefore, state is: 0x001f
A3 reads 0781.  Therefore, state is: 0x003f
A2 reads 0887.  Therefore, state is: 0x007f
A1 reads 0879.  Therefore, state is: 0x00ff
A0 reads 0753.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   46
LOOPING
A9 reads 0942.  Therefore, state is: 0x0001
A8 reads 1004.  Therefore, state is: 0x0003
A7 reads 1018.  Therefore, state is: 0x0007
A6 reads 0940.  Therefore, state is: 0x000f
A5 reads 0982.  Therefore, state is: 0x001f
A4 reads 0960.  Therefore, state is: 0x003f
A3 reads 0928.  Therefore, state is: 0x007f
A2 reads 1023.  Therefore, state is: 0x00ff
A1 reads 1023.  Therefore, state is: 0x01ff
A0 reads 0815.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   47
LOOPING
A9 reads 0882.  Therefore, state is: 0x0001
A6 reads 0903.  Therefore, state is: 0x000f
A5 reads 0746.  Therefore, state is: 0x001f
A8 reads 0996.  Therefore, state is: 0x0003
A7 reads 1018.  Therefore, state is: 0x0007
A4 reads 0743.  Therefore, state is: 0x003f
A3 reads 0745.  Therefore, state is: 0x007f
A2 reads 0959.  Therefore, state is: 0x00ff
A1 reads 0942.  Therefore, state is: 0x01ff
A0 reads 0523.  Therefore, state is: 0x03fe
[MAIN] State is: 0x3fe, time is:   48
LOOPING
A9 reads 0860.  Therefore, state is: 0x0001
A8 reads 1001.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0898.  Therefore, state is: 0x000f
A5 reads 0475.  Therefore, state is: 0x001e
A4 reads 0498.  Therefore, state is: 0x003c
A3 reads 0521.  Therefore, state is: 0x0078
A2 reads 0674.  Therefore, state is: 0x00f1
A1 reads 0654.  Therefore, state is: 0x01e3
A0 reads 0327.  Therefore, state is: 0x03c6
[MAIN] State is: 0x3c6, time is:   49
LOOPING
A9 reads 0816.  Therefore, state is: 0x0001
A8 reads 0997.  Therefore, state is: 0x0003
A7 reads 1018.  Therefore, state is: 0x0007
A6 reads 0904.  Therefore, state is: 0x000f
A5 reads 0506.  Therefore, state is: 0x001e
A4 reads 0478.  Therefore, state is: 0x003c
A3 reads 0478.  Therefore, state is: 0x0078
A2 reads 0592.  Therefore, state is: 0x00f0
A1 reads 0583.  Therefore, state is: 0x01e0
A0 reads 0310.  Therefore, state is: 0x03c0
[MAIN] State is: 0x3c0, time is:   50
LOOPING
A9 reads 0850.  Therefore, state is: 0x0001
