A4 reads 0456.  Therefore, state is: 0000
A3 reads 0445.  Therefore, state is: 0000
A2 reads 0936.  Therefore, state is: 0x0001
A1 reads 1011.  Therefore, state is: 0x0003
A0 reads 0983.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   42
A9 reads 0337.  Therefore, state is: 0000
A8 reads 0447.  Therefore, state is: 0000
A7 reads 0422.  Therefore, state is: 0000
A6 reads 0403.  Therefore, state is: 0000
A5 reads 0486.  Therefore, state is: 0000
A4 reads 0465.  Therefore, state is: 0000
A3 reads 0448.  Therefore, state is: 0000
A2 reads 0931.  Therefore, state is: 0x0001
A1 reads 0997.  Therefore, state is: 0x0003
A0 reads 0971.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   43
A9 reads 0304.  Therefore, state is: 0000
A8 reads 0346.  Therefore, state is: 0000
A7 reads 0395.  Therefore, state is: 0000
A6 reads 0384.  Therefore, state is: 0000
A5 reads 0429.  Therefore, state is: 0000
A4 reads 0425.  Therefore, state is: 0000
A3 reads 0419.  Therefore, state is: 0000
A2 reads 0920.  Therefore, state is: 0x0001
A1 reads 1008.  Therefore, state is: 0x0003
A0 reads 0966.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   44
A9 reads 0280.  Therefore, state is: 0000
A8 reads 0322.  Therefore, state is: 0000
A7 reads 0383.  Therefore, state is: 0000
A6 reads 0383.  Therefore, state is: 0000
A5 reads 0457.  Therefore, state is: 0000
A4 reads 0445.  Therefore, state is: 0000
A3 reads 0429.  Therefore, state is: 0000
A2 reads 0890.  Therefore, state is: 0x0001
A1 reads 1006.  Therefore, state is: 0x0003
A0 reads 0985.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   45
A9 reads 0330.  Therefore, state is: 0000
A8 reads 0379.  Therefore, state is: 0000
A7 reads 0388.  Therefore, state is: 0000
A6 reads 0384.  Therefore, state is: 0000
A5 reads 0470.  Therefore, state is: 0000
A4 reads 0447.  Therefore, state is: 0000
A3 reads 0428.  Therefore, state is: 0000
A2 reads 0859.  Therefore, state is: 0x0001
A1 reads 0994.  Therefore, state is: 0x0003
A0 reads 0968.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   46
A9 reads 0289.  Therefore, state is: 0000
A8 reads 0302.  Therefore, state is: 0000
A7 reads 0358.  Therefore, state is: 0000
A6 reads 0359.  Therefore, state is: 0000
A5 reads 0408.  Therefore, state is: 0000
A4 reads 0407.  Therefore, state is: 0000
A3 reads 0399.  Therefore, state is: 0000
